machine, type, vcpu, ram, cost
small-small-mem,0,4,8,0.125
small-small-mem,1,4,8,0.125
small-medium-mem,0,4,16,0.15
small-medium-mem,1,4,16,0.15
small-x-large-mem,0,4,32,0.221
small-x-large-mem,1,4,32,0.221
medium-small-mem,0,8,8,0.218
medium-small-mem,1,8,8,0.218
medium-medium-mem,0,8,16,0.243
medium-medium-mem,1,8,16,0.243
medium-large-mem,0,8,24,0.267
medium-large-mem,1,8,24,0.267
medium-x-large-mem,0,8,32,0.292
medium-x-large-mem,1,8,32,0.292
medium-xx-large-mem,0,8,64,0.435
medium-xx-large-mem,1,8,64,0.435
large-medium-mem,0,16,16,0.428
large-medium-mem,1,16,16,0.428
large-large-mem,0,16,24,0.45299999999999996
large-large-mem,1,16,24,0.45299999999999996
large-x-large-mem,0,16,32,0.478
large-x-large-mem,1,16,32,0.478
x-large-small-mem,0,24,24,0.639
x-large-small-mem,1,24,24,0.639
x-large-medium-mem,0,24,32,0.664
x-large-medium-mem,1,24,32,0.664
x-large-large-mem,0,24,64,0.763
x-large-large-mem,1,24,64,0.763
x-large-x-large-mem,0,24,128,0.963
x-large-x-large-mem,1,24,128,0.963
